TS: 1305785, TJ: 710642
TS: 3077544, TJ: 1166851
TS: 3096361, TJ: 1089116
TS: 5742812, TJ: 3545962
TS: 3990805, TJ: 3336521
TS: 7105566, TJ: 5313769
TS: 1136280, TJ: 437423
TS: 3103705, TJ: 2525412
TS: 1242176, TJ: 634605
TS: 2068667, TJ: 857311
TS: 1248902, TJ: 646190
TS: 1951044, TJ: 1167745
TS: 1410071, TJ: 847684
TS: 2277153, TJ: 605114
TS: 1223708, TJ: 467524
TS: 769095, TJ: 396852
TS: 2554159, TJ: 2047615
TS: 2094532, TJ: 1108096
TS: 3107412, TJ: 598495
TS: 4401781, TJ: 944888
TS: 3676206, TJ: 1091932
TS: 1456334, TJ: 937839
TS: 1714651, TJ: 1211728
TS: 1948170, TJ: 955758
TS: 1657437, TJ: 1171670
TS: 3385819, TJ: 658586
TS: 1339442, TJ: 788504
TS: 4672980, TJ: 841027
TS: 1976936, TJ: 541521
TS: 2188544, TJ: 858061
TS: 4929364, TJ: 1476185
TS: 5841010, TJ: 4878225
TS: 1531678, TJ: 848447
TS: 1529014, TJ: 619242
TS: 1692942, TJ: 612326
TS: 4532667, TJ: 1149987
TS: 2876168, TJ: 1686988
TS: 20906643, TJ: 11051422
TS: 3986578, TJ: 1018178
TS: 1586483, TJ: 993370
TS: 1274216, TJ: 793028
TS: 11088721, TJ: 9567360
TS: 3428808, TJ: 2602384
TS: 2428575, TJ: 1145613
TS: 1523957, TJ: 963084
TS: 3946361, TJ: 1273022
TS: 1220192, TJ: 661045
TS: 1617375, TJ: 970737
TS: 1851184, TJ: 1133073
TS: 1482196, TJ: 916536
TS: 846432, TJ: 416014
TS: 7131770, TJ: 6182419
TS: 1693271, TJ: 596613
TS: 5511362, TJ: 4533131
TS: 3872740, TJ: 1026909
TS: 2719457, TJ: 1878481
TS: 1372435, TJ: 509297
TS: 1185693, TJ: 600420
TS: 2968424, TJ: 592870
TS: 1092982, TJ: 569793
TS: 1746614, TJ: 898735
TS: 3094399, TJ: 433863
TS: 5337342, TJ: 3331629
TS: 1295586, TJ: 664914
TS: 1504893, TJ: 988165
