TS: 935502, TJ: 517323
TS: 1696311, TJ: 1141840
TS: 1000533, TJ: 595651
TS: 933438, TJ: 520759
TS: 2241447, TJ: 1587150
TS: 1013883, TJ: 613021
TS: 1029337, TJ: 664829
TS: 925810, TJ: 552478
TS: 939293, TJ: 553502
TS: 1790581, TJ: 1162709
TS: 1739908, TJ: 1134886
TS: 924375, TJ: 543421
TS: 1584445, TJ: 1067982
TS: 1313730, TJ: 824423
TS: 1069758, TJ: 658194
TS: 1036667, TJ: 627732
TS: 894509, TJ: 558771
TS: 952096, TJ: 547899
TS: 1078200, TJ: 694803
TS: 1064168, TJ: 662878
TS: 2874017, TJ: 2163003
TS: 914226, TJ: 526261
TS: 1069296, TJ: 663358
TS: 980230, TJ: 579740
TS: 1199611, TJ: 804963
TS: 1011544, TJ: 580242
TS: 1721241, TJ: 1177694
TS: 1085224, TJ: 623962
TS: 1183591, TJ: 767981
TS: 1081093, TJ: 706824
TS: 1069261, TJ: 670554
TS: 1024100, TJ: 635274
TS: 1061880, TJ: 654579
TS: 907984, TJ: 563970
TS: 915114, TJ: 574534
TS: 11742695, TJ: 8267284
TS: 2214862, TJ: 1137113
TS: 2176015, TJ: 1521631
TS: 985238, TJ: 665471
TS: 899698, TJ: 543768
TS: 992849, TJ: 603578
TS: 968987, TJ: 594837
TS: 937332, TJ: 576092
TS: 1568446, TJ: 1108400
TS: 1042443, TJ: 602018
TS: 1584288, TJ: 1126229
TS: 3974024, TJ: 692748
TS: 3360592, TJ: 1879845
TS: 1088875, TJ: 692240
TS: 1155685, TJ: 778601
TS: 998138, TJ: 629735
TS: 1577156, TJ: 1098597
TS: 970154, TJ: 591673
TS: 2755479, TJ: 621788
TS: 2166820, TJ: 1548090
TS: 911971, TJ: 565319
TS: 975278, TJ: 641665
TS: 12303980, TJ: 10375101
TS: 1683667, TJ: 1133489
TS: 915390, TJ: 600460
TS: 937474, TJ: 587960
TS: 1047435, TJ: 647392
TS: 1729898, TJ: 1178876
TS: 971362, TJ: 615560
TS: 1111403, TJ: 767251
TS: 851952, TJ: 535107
TS: 1030401, TJ: 609683
TS: 966435, TJ: 622049
TS: 1002130, TJ: 638204
TS: 1028461, TJ: 691088
TS: 1597105, TJ: 1083760
TS: 1642557, TJ: 1133165
TS: 922429, TJ: 528430
