TS: 906021, TJ: 539172
TS: 1419895, TJ: 1055687
TS: 698848, TJ: 435979
TS: 806065, TJ: 560853
TS: 717742, TJ: 503103
TS: 632948, TJ: 420051
TS: 1188468, TJ: 901984
TS: 1159852, TJ: 871014
TS: 557655, TJ: 404407
TS: 607258, TJ: 376279
TS: 1106523, TJ: 799580
TS: 549901, TJ: 366471
TS: 524965, TJ: 371318
TS: 526951, TJ: 347356
TS: 554439, TJ: 356492
TS: 503216, TJ: 350827
TS: 681177, TJ: 392336
TS: 553561, TJ: 367579
TS: 539392, TJ: 367683
TS: 489903, TJ: 291429
TS: 537293, TJ: 312832
TS: 616986, TJ: 445319
TS: 513273, TJ: 360384
TS: 570031, TJ: 362369
TS: 641949, TJ: 404955
TS: 584694, TJ: 434356
TS: 504911, TJ: 325197
TS: 502220, TJ: 339829
TS: 594659, TJ: 406734
TS: 588880, TJ: 416865
TS: 593111, TJ: 326470
TS: 529955, TJ: 341567
TS: 663488, TJ: 417685
TS: 717523, TJ: 434992
TS: 554875, TJ: 371572
TS: 623487, TJ: 473721
TS: 633667, TJ: 460102
TS: 8780521, TJ: 3882203
TS: 583220, TJ: 399092
TS: 1134782, TJ: 860921
TS: 572645, TJ: 361821
TS: 646790, TJ: 449072
TS: 500581, TJ: 323075
TS: 637067, TJ: 410449
TS: 585672, TJ: 406296
TS: 493918, TJ: 347364
TS: 1622313, TJ: 1453681
TS: 570563, TJ: 405547
TS: 719783, TJ: 546643
TS: 589621, TJ: 426209
TS: 542391, TJ: 375465
TS: 691785, TJ: 516081
TS: 5889381, TJ: 4999431
TS: 481468, TJ: 319974
TS: 1062529, TJ: 816250
TS: 648826, TJ: 456680
TS: 518472, TJ: 362691
TS: 610345, TJ: 431584
TS: 1163784, TJ: 907609
TS: 788464, TJ: 555079
TS: 725321, TJ: 510841
TS: 577298, TJ: 410243
TS: 582283, TJ: 398231
TS: 558418, TJ: 366890
TS: 796222, TJ: 634781
TS: 480492, TJ: 294689
TS: 514853, TJ: 348451
TS: 1147567, TJ: 866903
TS: 720967, TJ: 533421
TS: 688231, TJ: 374552
TS: 570574, TJ: 336300
TS: 565382, TJ: 368494
TS: 697495, TJ: 393099
TS: 651807, TJ: 396042
TS: 552914, TJ: 371545
TS: 615112, TJ: 457061
TS: 561569, TJ: 368042
TS: 1855216, TJ: 753894
TS: 3494369, TJ: 3139046
TS: 585509, TJ: 328289
TS: 1246787, TJ: 836999
