TS: 37141331, TJ: 496960
TS: 44615999, TJ: 11742436
TS: 2335920, TJ: 1036983
TS: 2411089, TJ: 1057502
TS: 1269466, TJ: 705429
TS: 5102051, TJ: 934640
TS: 1181533, TJ: 647792
TS: 2196020, TJ: 1482630
TS: 1101779, TJ: 699450
TS: 939813, TJ: 606736
TS: 859783, TJ: 484894
TS: 1314828, TJ: 844413
TS: 1705723, TJ: 1037281
TS: 1114245, TJ: 653059
TS: 1918807, TJ: 1147639
TS: 1010364, TJ: 615779
TS: 1138685, TJ: 763159
TS: 1563991, TJ: 991552
TS: 662042, TJ: 438762
TS: 14667738, TJ: 9359635
TS: 1300724, TJ: 870602
TS: 50205185, TJ: 32606195
TS: 974311, TJ: 587124
TS: 1345812, TJ: 945267
TS: 565741, TJ: 354346
TS: 3415954, TJ: 2602143
TS: 592952, TJ: 369111
TS: 738916, TJ: 514721
TS: 1109359, TJ: 749645
TS: 842844, TJ: 523724
TS: 582133, TJ: 365063
TS: 1499902, TJ: 995318
TS: 1134679, TJ: 734660
TS: 849122, TJ: 566276
TS: 1023695, TJ: 627343
TS: 871296, TJ: 530209
TS: 664305, TJ: 450690
TS: 689126, TJ: 471041
TS: 1544233, TJ: 1015677
TS: 759876, TJ: 468179
TS: 1719939, TJ: 376335
TS: 1579499, TJ: 489134
TS: 1944244, TJ: 1340083
TS: 752587, TJ: 470624
TS: 905305, TJ: 606722
TS: 1248181, TJ: 853608
TS: 651029, TJ: 431211
TS: 2211391, TJ: 828643
TS: 1932860, TJ: 1102661
TS: 901711, TJ: 615130
TS: 2195052, TJ: 1634592
TS: 1311418, TJ: 911994
TS: 1716679, TJ: 1190434
TS: 882499, TJ: 582734
TS: 759203, TJ: 437294
TS: 836930, TJ: 591441
TS: 3068514, TJ: 2604673
TS: 596820, TJ: 344642
TS: 1119299, TJ: 674481
TS: 696393, TJ: 395162
TS: 641055, TJ: 370206
TS: 1074812, TJ: 645273
TS: 3072231, TJ: 584329
TS: 6256725, TJ: 5025380
TS: 879216, TJ: 621448
TS: 1178124, TJ: 845365
TS: 1436593, TJ: 975355
TS: 1441242, TJ: 1097699
TS: 1599702, TJ: 1047748
TS: 1301977, TJ: 809339
TS: 5152281, TJ: 3962610
